Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/03/2023;000;21.6;21.7;21.4;92;93;92;20.3;20.4;20.1;-0.34;1021;1020.66;0;0;0;;0.0
01/03/2023;100;21.5;21.9;21.3;93.4;94;93;20.4;20.9;20.1;-0.68;1020.66;1019.98;0.3;95;6.4;;0.0
01/03/2023;200;22.3;22.4;21.9;94;94;94;21.3;21.4;20.9;-0.68;1019.98;1019.3;0.5;314;4.8;;0.0
01/03/2023;300;21.9;22.2;21.6;94;94;94;20.9;21.2;20.6;-0.34;1019.3;1018.96;0;135;0;;0.0
01/03/2023;400;21.4;21.6;21.2;94;94;94;20.4;20.6;20.2;0.34;1019.3;1018.96;0;135;0;;0.0
01/03/2023;500;20.9;21.3;20.8;95;95;94;20.1;20.4;19.9;0;1019.3;1019.3;0;270;0;;0.0
01/03/2023;600;21.2;21.9;20.9;95;95;95;20.3;21.1;20.1;0.68;1019.98;1019.3;0;270;0;;0.0
01/03/2023;700;22.9;23.7;21.9;95;95;95;22.1;22.9;21.1;0.34;1020.32;1019.98;0;270;0;;0.0
01/03/2023;800;24.4;25;23.7;94.5;95;94;23.5;23.9;22.9;0;1020.32;1020.32;0;270;0;;0.0
01/03/2023;900;25;25.2;24.6;87.1;93;86;22.7;23.7;22.4;0.34;1020.66;1020.32;0.6;351;6.4;;0.3
01/03/2023;1000;23.9;25.1;22.7;88.7;92;79;21.9;23;19.8;0;1020.66;1020.66;4.3;1;12.9;;2.5
01/03/2023;1100;23.2;23.6;22.8;87.5;91;84;21;21.4;20.4;-0.68;1020.66;1019.98;9.9;352;14.5;;0.0
01/03/2023;1200;24.8;25.6;23.6;79;85;73;20.8;21.6;20;-0.68;1019.98;1018.96;8.4;355;14.5;;0.0
01/03/2023;1300;25;25.6;24.7;79.1;81;77;21.2;21.7;20.7;-0.68;1019.3;1018.63;7.4;356;12.9;;0.0
01/03/2023;1400;25.2;25.4;24.9;80;81;78;21.5;21.7;21;-0.68;1018.63;1017.95;8.9;358;16.1;;0.0
01/03/2023;1500;25.6;26.1;25;80.1;82;79;21.9;22.4;21.3;-1.36;1017.95;1016.59;6.9;1;14.5;;0.0
01/03/2023;1600;25.2;25.7;24.9;83.3;84;82;22.2;22.5;21.8;0;1016.93;1016.59;3.8;12;9.7;;0.0
01/03/2023;1700;25;26.2;24.5;83.6;85;81;22;22.8;21.6;0.34;1016.93;1016.59;3.4;26;9.7;;0.0
01/03/2023;1800;23.9;24.6;23.5;85.8;86;84;21.4;21.8;21;-0.34;1016.93;1016.59;4.7;354;14.5;;0.0
01/03/2023;1900;23.4;23.5;23.1;84.6;86;84;20.6;21;20.3;0.68;1017.27;1016.59;7.8;357;14.5;;0.0
01/03/2023;2000;22.9;23.1;22.8;84.7;86;84;20.2;20.4;20.1;0.34;1017.61;1017.27;4.2;356;8;;0.0
01/03/2023;2100;22.9;23;22.9;87;89;86;20.6;21;20.4;0.34;1018.29;1017.61;0.8;354;6.4;;0.0
01/03/2023;2200;23.1;23.3;22.9;89.1;90;89;21.2;21.4;21;0;1017.95;1017.61;0.8;328;4.8;;0.0
01/03/2023;2300;22.7;23;22.1;90.3;91;90;21;21.3;20.6;0;1018.63;1017.95;0.2;358;3.2;;0.0
02/03/2023;000;21.9;22.1;21.8;92.5;93;91;20.6;20.9;20.2;-0.68;1017.95;1017.27;0;113;0;;0.0
02/03/2023;100;22.3;22.5;21.8;93.9;94;93;21.3;21.5;20.6;-0.34;1017.27;1016.93;1.5;8;6.4;;0.0
02/03/2023;200;22.2;22.6;21.9;93.8;94;92;21.2;21.4;20.9;-1.02;1016.93;1015.92;3.2;311;12.9;;0.0
